Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6,Distance7,Beta7,Phi7,Fermi_contact7,Distance8,Beta8,Phi8,Fermi_contact8,Distance9,Beta9,Phi9,Fermi_contact9,Distance10,Beta10,Phi10,Fermi_contact10,Distance11,Beta11,Phi11,Fermi_contact11,Distance12,Beta12,Phi12,Fermi_contact12
7.25,0.1701,-2.8122,0.00508,5.7501,0.29173,-3.1291,0.04071,3.9636,-0.5119,-2.2902,0.00275,6.3771,-0.58651,-2.4405,-0.00163,3.6781,0.61455,-1.0767,0.68998,5.8166,0.52148,-0.75178,0.04107,4.6887,-0.75833,-1.1987,0.00368,4.9094,-1.1847,-0.51744,-0.01076,6.8176,-0.20583,0.059804,0.0006,5.268,0.087581,-0.10653,0.02761,4.9277,0.30403,-2.1351,0.00646,6.5569,0.35648,-1.7786,-0.00026
8.1895,0.076461,-3.05,0.00036,5.7794,-0.011127,-3.1173,-0.00308,5.0245,-0.70437,-2.4396,-0.0052,7.2903,-0.80977,-2.6685,-0.00062,5.2779,1.265,1.4068,0.00216,7.2084,1.3289,0.31253,0.00151,4.3048,0.98849,-1.4994,0.30619,5.1831,0.62139,-0.97118,0.00889,4.0401,-0.69479,-1.2211,0.04941,3.6008,-1.2486,-0.5924,-0.86083,6.0931,-0.23661,-0.068123,-0.00864,4.8,0.12036,-0.28285,0.01026
5.6219,-0.83378,-2.8596,0.0186,7.6752,-0.83499,3.0905,0.00232,4.9741,1.2202,1.8693,-0.025,6.4474,1.4087,0.45701,0.00161,4.3892,0.96575,-2.0312,0.12593,4.0254,0.61685,-1.2611,0.17194,3.6516,-0.79229,-1.4631,0.8495,4.5712,-1.3717,-1.5491,-0.00866,5.6921,-0.43598,-0.30166,0.01148,4.6594,-0.13547,-0.66873,-0.01107,5.706,-0.11402,-2.6393,0.00314,4.9791,-0.065333,-2.1918,-0.00403
8.6443,0.223,2.9987,-0.0026,6.6517,0.14995,2.7996,-0.01578,5.4037,-0.78503,-2.8917,0.00593,7.302,-0.79433,3.0088,0.01028,5.0722,1.3261,1.2573,0.01644,6.5775,1.2128,0.075053,-0.00279,3.613,0.94782,-1.807,2.0871,3.8816,0.65347,-0.93395,0.06982,3.5867,-0.97006,-1.5447,0.58735,4.3336,-1.3129,-0.0059804,0.06798,5.4692,-0.16569,-2.5561,-0.00109,4.5239,-0.10988,-2.0744,-0.0111
5.1518,-0.69393,-2.9053,0.00094,7.2327,-0.62242,3.0816,0.00993,5.9532,1.177,0.49895,0.06889,7.2847,0.86647,0.30632,0.02656,3.9364,0.82139,-1.4208,0.71652,3.5284,0.3408,-0.79059,0.20631,3.967,-0.89987,-1.7015,0.21351,3.9769,-1.5206,-1.2947,-0.13669,5.1055,-0.48493,-0.16011,0.04119,6.5429,-0.33275,-0.53135,0.00568,5.3998,0.15456,-2.5739,-0.0023,3.6136,-0.0014589,-2.1921,-0.0204
8.401,0.41436,3.0973,0.00132,5.8994,0.48704,3.0635,0.03373,5.4767,-0.55861,-2.8966,0.00561,7.2635,-0.41526,3.0864,0.00468,7.3646,0.95235,0.14093,0.00084,6.56,0.607,0.25726,0.15698,3.7402,0.7113,-1.0318,0.73101,4.3617,0.098033,-0.9198,-0.02086,5.1692,-1.1202,-1.9807,0.00237,4.769,-1.4276,2.2929,-0.01919,5.3543,0.29462,-2.4878,-0.00265,3.4095,-0.0067042,-2.2617,-0.12943
7.968,0.43329,-3.0062,0.0036,5.6519,0.59604,-3.0915,0.12112,6.3754,-0.83433,1.3743,0.00912,7.5212,-0.6855,1.8042,0.00527,5.1302,-0.27947,-2.7135,-0.003,7.1214,-0.31802,-2.991,6e-05,4.2326,0.67571,-0.94008,0.16067,4.7129,0.13094,-0.83218,-0.00725,5.8504,-1.2456,-2.242,-0.00613,4.3683,-1.5012,1.404,-0.13756,5.5927,0.28307,-2.203,-0.00123,3.7685,0.061633,-1.8739,-0.06473
5.8015,-0.87892,1.6417,0.17878,7.6052,-0.6613,1.8565,0.01007,5.3693,-0.14193,-2.6149,0.00229,7.6803,-0.20478,-2.73,-0.0003,7.9075,0.22196,2.8824,0.00131,7.1504,0.017636,2.6255,-0.01849,4.1895,0.61631,-0.7767,0.12071,5.0458,0.076969,-0.79476,-0.00447,4.5604,-1.1063,-2.6524,-0.03039,3.6638,-1.3248,-0.81962,-0.33591,5.4004,0.35593,-1.9722,-0.00226,4.2956,0.034761,-1.5929,0.00202
5.4386,-0.94688,2.0357,0.03807,7.3737,-0.73031,1.8314,0.03519,5.8134,0.087128,-2.7268,0.00536,8.1176,-0.064627,-2.8172,0.00043,7.1894,-0.37206,-0.90925,-3e-05,5.9623,-0.39707,-1.2766,0.00018,4.1082,0.62638,-0.72787,0.25236,5.1091,0.13457,-0.84488,0.00383,3.8526,-0.85065,-2.0881,0.24017,3.8711,-0.9172,-0.97804,0.11918,5.373,0.48155,-2.0056,0.00663,5.3438,0.11452,-1.6807,0.00196
8.0586,0.5044,-2.9679,-0.00017,5.6411,0.61666,-2.9169,0.02704,6.2626,-0.78911,1.8559,0.02399,8.3087,-0.61952,1.7024,0.00521,7.5146,0.89898,-2.135,0.00021,5.6437,0.76645,-1.8138,0.00195,3.7886,0.27172,-0.85369,0.16093,5.0748,-0.20568,-0.78648,0.00714,4.011,-1.392,-2.5193,-0.07016,4.5202,-1.1421,0.11679,0.03997,4.4058,0.0039751,-2.1336,-0.01611,6.1178,-0.22399,-1.8679,-0.00014
