Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6
6.3329,-0.65886,1.7241,-0.01068,6.5041,-0.082988,-2.759,-0.00045,8.1052,0.08636,2.7628,-0.0025,4.2553,0.28848,-0.61555,-0.00996,4.6895,-1.3443,-1.9651,-0.09334,4.9173,0.094194,-1.8878,-0.00064
5.899,-0.76751,1.7727,-0.01279,6.9992,0.048032,-2.876,-3e-05,7.0393,-0.32124,-1.13,-9e-05,4.7388,0.33524,-0.63233,-0.00207,4.2848,-1.0556,-1.5864,-0.03108,5.3806,0.21571,-1.9527,-0.00029
7.034,0.57988,-2.8232,0.006,6.8328,-0.61083,1.7009,-0.0012,7.0894,0.80919,-1.8762,0.00071,4.4767,0.03039,-0.62704,0.03443,4.8393,-1.4134,-0.47287,-0.0291,5.6207,-0.16568,-2.1015,-0.0008
6.783,0.4233,-2.8882,0.00746,6.703,-0.65469,1.6554,-0.00715,6.8788,0.75069,-1.8952,0.0001,4.2555,-0.26586,-0.77161,0.01303,5.5415,-1.4352,-0.57046,0.01697,5.1653,-0.2048,-2.2579,-0.0108
6.4702,-0.63864,1.76,-0.00351,7.2872,0.081753,2.413,0.00118,3.5321,0.068187,-0.90693,-0.06636,5.1342,-1.3513,-1.5762,0.04091,5.9524,1.418,-0.78811,0.0023,4.7324,0.19179,-2.3862,0.00424
6.3956,-0.6434,1.6721,-0.00374,6.7347,0.46048,0.02782,-0.0009,3.466,0.50718,-0.75663,0.01505,4.1646,-1.3757,-0.81347,0.29208,5.7888,1.4983,2.337,0.00158,4.6768,0.13746,-2.5481,0.0308
6.8817,-0.60603,1.7291,-0.00078,3.8278,0.33468,-0.64532,-0.0122,4.9829,-1.318,-0.16268,0.05601,7.0805,-0.14617,0.18179,0.01454,5.7918,1.5035,-2.0397,0.0009,4.7151,-0.090313,-2.2043,-0.04353
6.8914,-0.54638,1.8663,-0.00104,3.8454,0.16293,-0.58022,-0.01181,4.7541,-1.4061,-1.1258,-0.01137,7.2788,-0.19139,0.2512,-0.00028,6.03,1.4041,-1.243,-0.00146,4.5036,0.011923,-2.116,0.02306
6.2621,-0.1597,3.1069,0.00501,3.6133,0.1653,-0.89068,-0.04335,4.9399,-1.1905,-2.0288,0.00862,6.679,-0.19399,0.010825,-0.00228,5.4521,1.3515,-1.9434,0.00622,4.7433,0.15554,-2.3192,-0.00221
3.7057,0.037044,-0.94202,-0.04476,5.2082,-1.0297,-2.4095,-0.00844,6.3871,-0.50416,-0.065028,-0.00113,4.8415,1.3337,-1.3776,-0.00021,6.526,0.72585,0.48763,-0.01021,4.7712,0.22803,-2.5134,-0.0062
7.2017,-0.60274,0.82416,-0.00746,6.6798,-0.60266,1.8521,0.00083,5.9322,0.13506,3.0806,-0.00334,4.6331,0.46478,-0.69028,-0.00256,4.4937,-0.82952,-1.8103,0.05043,4.6019,0.58152,-2.4205,0.01762
6.9828,1.0545,-2.4092,0.0001,6.7949,-0.55818,1.786,0.00078,4.874,0.22004,-0.5085,0.00602,4.9273,-1.0424,-1.7592,0.10405,6.4664,-1.1246,0.62465,0.00036,4.269,0.62282,-1.9436,0.00357
6.7483,0.95586,2.5147,-0.00361,6.5181,1.1398,-2.3688,0.00046,6.0872,0.16491,3.128,-0.00195,4.9041,0.13877,-0.67658,0.00027,4.4678,-1.1728,-1.9911,0.18668,4.9226,0.35154,-1.9708,-5e-05
7.0847,1.0049,2.7084,-0.00421,6.5698,1.0009,-2.1777,-0.00064,6.6128,0.26787,3.119,-0.00156,4.5494,-0.16617,-0.91921,-0.00164,4.7213,-1.1486,-2.2989,-0.02509,5.189,0.21453,-2.202,0.00149
7.3299,1.0328,2.5231,-0.00131,6.8624,-0.19161,-2.7872,0.00093,6.8909,0.32042,3.0134,-0.00885,4.2026,-0.21531,-0.73033,0.00504,4.9233,-1.1229,-2.1364,-0.02036,4.8462,0.10375,-2.2115,-0.00448
7.1615,0.77371,2.587,0.00077,6.289,-0.4663,-2.6536,-0.00178,7.7867,0.48743,1.2256,0.0001,4.4774,0.26447,-0.44118,-0.00438,4.8249,-0.87237,-1.5218,-0.01169,4.4675,0.12617,-2.1608,-0.06865
5.9198,-0.29161,-2.4344,-0.00028,7.6821,0.3877,1.2358,-0.00863,6.2864,-0.6918,1.4559,-0.00604,4.4957,0.45802,-0.22722,0.00411,4.1839,-0.59026,-1.5042,0.07461,5.022,0.44664,-2.1083,0.00395
6.7663,-0.62588,1.5308,-0.00197,5.7446,0.14702,-3.1141,0.01643,5.3109,0.11916,-0.29236,0,5.0267,-0.8134,-1.4152,0.04011,7.129,0.91082,0.20077,0.05995,4.269,0.31263,-1.9544,0.07864
6.2379,-0.26797,-2.4028,0.00026,6.5463,-0.6771,1.6304,-0.00414,5.6275,0.29948,-2.9959,0.00966,5.2407,0.099074,-0.27914,0.00345,4.7551,-0.70037,-1.3376,-0.00289,4.4723,0.38688,-1.7345,0.00629
7.5736,0.059633,0.67696,0.00524,6.9066,-0.6315,1.5844,-0.00318,7.9149,-0.5073,2.2967,0.00046,5.0091,0.098384,-0.20171,-0.00324,4.1803,-0.82774,-1.1728,0.03282,4.9059,0.30316,-1.5689,0.00235
7.5265,-0.67257,0.80675,-0.00198,6.4106,-0.71454,1.6296,-0.00876,6.5537,0.47058,-3.0602,-0.00186,5.449,0.15211,-0.07902,0.00131,3.9318,-0.57698,-1.4623,-0.00307,4.6405,0.60265,-1.4579,-0.02073
6.6475,-0.66099,1.6338,-0.00234,6.0803,0.4381,-2.9422,0.0022,7.2612,-0.67321,2.3001,0.00173,6.2634,0.22588,0.073322,0.00166,4.0534,-0.75448,-1.3522,-0.04318,3.9777,0.76873,-1.3619,0.06755
6.672,-0.14372,-0.53587,-0.00013,6.0715,0.30747,-2.8596,0.00124,7.0187,-0.604,2.1796,0.00864,5.4535,0.31594,0.054657,0.02271,4.8589,-0.97835,-1.2693,-0.02194,3.7926,0.66177,-1.7718,-0.06782
7.0293,-0.4493,-2.7304,0.00042,5.4287,-0.31899,-0.72088,0.01183,7.8073,-0.52769,1.8329,-0.00042,5.0963,0.46028,-0.28112,-0.003,4.705,-1.2441,-1.522,-0.06528,4.0502,0.34036,-1.9925,-0.04232
6.8827,-0.3922,-2.6913,0.00028,5.0194,-0.28772,-0.7194,-0.00139,4.996,0.53982,-0.30736,-0.00437,4.7267,-1.2697,-1.7078,-0.00108,6.0255,1.0782,1.6201,-0.00889,4.5467,0.3157,-2.0942,0.01754
6.405,-0.038345,-2.6145,-0.00056,5.067,-0.32968,-0.75121,0.00355,7.1116,-0.73589,0.40986,0.00335,4.8187,-1.1431,-1.7752,0.01452,6.1216,0.99874,1.3656,0.0025,4.525,0.57425,-1.932,0.17701
6.378,0.13583,-2.6621,0.00083,5.2784,-0.16582,-0.78908,-0.01159,6.7166,-0.60862,1.7537,0.0001,4.3443,-1.0353,-1.7268,0.40934,6.8343,-1.5419,1.0328,-0.00047,4.8086,0.86887,-1.8536,-0.02082
6.2968,-0.11944,-2.6273,0.00336,5.9121,-0.13367,-0.95711,0.00028,6.7698,-0.65507,1.4659,-0.00549,4.9569,-0.99856,-1.3846,0.12212,7.0146,-1.2754,0.48383,0.00076,4.2898,0.64687,-2.0297,-0.02904
6.1251,-0.55259,2.9382,-0.00728,5.5354,-0.056685,-2.3148,-0.0004,6.5002,-0.60554,1.5069,-0.00211,5.0791,-0.85218,-1.1129,0.073,6.584,-1.0947,0.34695,0.00214,4.3267,0.58803,-1.682,-0.07932
5.718,-0.40815,-2.3054,0.00181,5.0517,0.60909,-0.49238,0.02738,5.8143,-0.97301,-0.98003,0.0113,6.9053,1.1565,2.7052,-0.00139,7.1526,-0.9746,0.56674,0.0055,4.4217,0.13949,-1.6574,0.00249
6.0955,-0.55237,-2.4773,-0.00275,7.1922,-0.34988,1.1049,0.00106,5.4936,-1.0416,-1.0091,0.04481,6.891,0.28257,-0.21804,-0.00165,6.726,-0.99284,0.57698,0.00744,4.4317,-0.058279,-1.8132,0.01952
6.7693,-0.774,-2.7905,0.01652,6.5966,0.77189,1.22,0.00224,4.5455,0.74783,-1.187,0.00142,5.8204,-1.2994,-1.0557,-0.02129,5.8756,0.13994,-0.36876,-0.00583,4.5549,-0.31047,-1.9031,-0.01577
